monthyr,name,session,users,pageviews,streaming event
Jul2015,KQED,2745931,1903390,4122761,0.099450059
Jul2015,minnesota public radio,2599084,1600801,4030985,0
Jul2015,WBUR,2480033,1726115,3777389,0.000731845
Jul2015,WAMU 88.5,1105992,662677,1965037,2.71E-06
Jul2015,WHYY,844429,550103,1336517,0.006682622
Jul2015,Oregon Public Broadcasting,788004,531349,1517637,1.52E-05
Jul2015,Chicago Public Media,551508,418058,1904282,0
Jul2015,KPBS,493656,354453,804745,0
Jul2015,KUOW,493320,373828,672290,0.108542123
Jul2015,Public Media for North Texas,477398,336062,768397,0.013102275
Jul2015,Michigan Radio,461716,306397,652879,0.173091251
Jul2015,KEXP,442633,224108,815511,1.36E-05
Jul2015,Colorado Public Radio,349716,190624,566459,0
Jul2015,WXPN,322759,206815,714416,9.91E-05
Jul2015,WABE,276260,196121,546937,0.075023529
Jul2015,KCUR,273559,207555,377413,0.01000881
Jul2015,Capital Public Radio,261831,175634,451244,0.000187144
Jul2015,Vermont Public Radio,256320,141295,440214,0.00210284
Jul2015,WGBH,223538,175696,370699,0.014167614
Jul2015,Indiana Public Media / WFIU,203154,169288,282751,0.002387351
Jul2015,St. Louis Public Radio,201620,142774,297106,0.037699633
Jul2015,KPLU,194806,122259,271994,0.094139811
Jul2015,KSTX,186289,155681,238216,0.063664521
Jul2015,KUT,175695,115932,301672,0.190990068
Jul2015,Houston Public Media,174188,102579,280740,0.238432039
Jul2015,NHPR,174162,116556,293155,0.11569688
Jul2015,Louisville Public Media,166403,106692,267137,0
Jul2015,Nashville Public Radio,161353,117258,265437,0.074464063
Jul2015,North Carolina Public Radio - WUNC,142411,98066,209663,0.200293517
Jul2015,WAMC Northeast Public Radio,136094,81629,230699,0.195974841
Jul2015,WLRN,130341,97846,207832,0.018750815
Jul2015,Capital Community Broadcasting,127906,75267,204920,0
Jul2015,WNPR,127580,89591,201838,0.106827089
Jul2015,WBGO,127307,57959,309350,0
Jul2015,West Virginia Public Broadcasting,126043,99433,175362,0.002086589
Jul2015,WUWM 89.7 FM - Milwaukee Public Radio,121783,94456,171957,0.056699211
Jul2015,Maine Public Broadcasting Network (MPBN),120609,65401,223602,0.010969331
Jul2015,KUSC,117804,44193,187929,0
Jul2015,WKSU,116811,81764,190954,5.14E-05
Jul2015,Cincinnati Public Radio,105694,76832,149186,0.083921509
Jul2015,witf,93955,67737,170628,0
Jul2015,KUNC,87568,60859,169651,0.184610817
Jul2015,WFUV,85527,25866,106096,0
Jul2015,KWSU,83869,62061,130559,0.133994682
Jul2015,Iowa Public Radio,82158,46631,146589,0.29393364
Jul2015,Nevada Public Radio,79440,55197,128045,0
Jul2015,KUAZ-AM/FM,78049,45496,175871,0.10576689
Jul2015,KUER,76611,40443,131341,0.140776129
Jul2015,KALW,76353,56248,141129,0.009901379
Jul2015,WFAE,74968,48195,141996,0.214891687
Jul2015,WESA,73984,50979,122785,0.126243512
Jul2015,Rhode Island Public Radio,72146,46829,117758,0.010839132
Jul2015,WUSF Public Media,71262,52143,138940,0.004925486
Jul2015,NET Radio,67552,52603,105515,0.000547726
Jul2015,WRTI,66906,26492,139558,0.513765582
Jul2015,WXXI Public Broadcasting,65617,41053,100849,0.100248411
Jul2015,WYPR Your Public Radio,64542,37258,114641,0.283195439
Jul2015,89.9 WWNO New Orleans Public Radio,61143,33973,103961,0.196228513
Jul2015,Boise State Public Radio,60660,43400,96345,0.135393999
Jul2015,WRVO Public Media,58628,38041,97070,0.186122672
Jul2015,Jefferson Public Radio,56153,28584,107378,0.179687639
Jul2015,WUFT-FM,55913,41055,82223,0.000286159
Jul2015,WUIS,54660,38542,85482,0.055049396
Jul2015,WMFE,53350,30991,87749,0.158425492
Jul2015,WBFO,52034,38217,80148,0.126148288
Jul2015,WJCT,51365,44175,72127,0.003114962
Jul2015,MTPR,48923,30155,84797,0.128446743
Jul2015,Wyoming Public Media,44993,29171,74406,0.179605716
Jul2015,KMUW,44417,29383,78751,0.009005561
Jul2015,WVTF & RADIO IQ,44237,25903,80791,0.289508782
Jul2015,KDLG,43920,21016,111490,0.040710383
Jul2015,KGOU,42126,33597,63882,0.018966909
Jul2015,Illinois Public Media,41782,18542,86180,0
Jul2015,WNCW,41606,19543,84634,0.322886122
Jul2015,northern public radio,38916,28716,61138,0.165458937
Jul2015,WFYI,38391,33370,48678,0
Jul2015,WNKU,37092,15858,57161,0.444947698
Jul2015,New England Public Radio,36431,23475,64096,0.000219593
Jul2015,WMHT,36278,23630,64241,0
Jul2015,South Dakota Public Broadcasting,35162,24424,83983,0.036886411
Jul2015,KVPR,34965,28018,48060,0.083969684
Jul2015,Interlochen Public Radio,34652,21506,75624,0.13540344
Jul2015,WQED Multimedia,34624,20978,85353,0
Jul2015,WHRV FM,34151,11574,46578,0
Jul2015,WKMS,33689,25535,68787,0.052717504
Jul2015,KWGS,33446,20471,55671,0.159869641
Jul2015,WKAR,33059,21144,61299,0.14964155
Jul2015,WOSU Public Media,32942,22802,57061,0.111923988
Jul2015,WGCU,32766,21317,60974,0.150064091
Jul2015,KUAR,32613,26079,51565,0.082053169
Jul2015,KLCC,32172,20027,57816,0.034315554
Jul2015,WFSU,31637,25942,47669,0.041091127
Jul2015,WSHU,31289,19898,55062,0.310620346
Jul2015,WDAV Classical Public Radio,31108,15332,53548,0.000128584
Jul2015,KOSU,29182,22229,48685,0.182098554
Jul2015,KUNM,29069,18197,57058,0.167154013
Jul2015,KRWG,28603,20142,56019,0.079257421
Jul2015,Mississippi Public Broadcasting,28498,18018,57666,0.016141484
Jul2015,WYSO,27993,20306,46343,0.076483407
Jul2015,KBIA,27054,19934,47758,0.129186072